Ending Weight Token,Ending Weight USD,Sale Rate, Total Proceeds ,Unsold Tokens,Average Price,Min Price
0.03,0.97,0.18," $214,043.81 ",41000000,0.023782645,0.000395726
0.03,0.97,0.19," $229,560.81 ",40500000,0.024164296,0.000412705
0.03,0.97,0.2," $245,542.59 ",40000000,0.024554259,0.000430475
0.03,0.97,0.21," $262,004.00 ",39500000,0.024952762,0.000449079
0.03,0.97,0.22," $278,960.42 ",39000000,0.025360038,0.00046856
0.03,0.97,0.23," $296,427.80 ",38500000,0.02577633,0.000488966
0.03,0.97,0.24," $314,422.65 ",38000000,0.026201887,0.000510347
0.03,0.97,0.25," $332,962.12 ",37500000,0.02663697,0.000532758
0.03,0.97,0.26," $352,063.99 ",37000000,0.027081846,0.000556253
0.03,0.97,0.27," $371,746.70 ",36500000,0.027536793,0.000580895
0.03,0.97,0.28," $392,029.38 ",36000000,0.028002099,0.000606747
0.03,0.97,0.29," $412,931.91 ",35500000,0.028478062,0.000633879
0.03,0.97,0.3," $434,474.89 ",35000000,0.028964993,0.000662363
0.03,0.97,0.31," $456,679.76 ",34500000,0.02946321,0.000692279
0.03,0.97,0.32," $479,568.76 ",34000000,0.029973048,0.00072371
0.03,0.97,0.33," $503,165.03 ",33500000,0.03049485,0.000756746
0.03,0.97,0.34," $527,492.59 ",33000000,0.031028976,0.000791483
0.03,0.97,0.35," $552,576.45 ",32500000,0.031575797,0.000828023
0.03,0.97,0.36," $578,442.60 ",32000000,0.0321357,0.000866477
0.03,0.97,0.37," $605,118.11 ",31500000,0.032709087,0.000906962
0.03,0.97,0.38," $632,631.13 ",31000000,0.033296375,0.000949607
0.03,0.97,0.39," $661,010.99 ",30500000,0.033897999,0.000994547
0.03,0.97,0.4," $690,288.23 ",30000000,0.034514412,0.00104193
0.03,0.97,0.41," $720,494.71 ",29500000,0.035146083,0.001091913
0.03,0.97,0.42," $751,663.59 ",29000000,0.035793504,0.001144668
0.03,0.97,0.43," $783,829.50 ",28500000,0.036457186,0.001200378
0.03,0.97,0.44," $817,028.56 ",28000000,0.037137662,0.001259243
0.03,0.97,0.45," $851,298.47 ",27500000,0.037835488,0.001321478
0.03,0.97,0.46," $886,678.62 ",27000000,0.038551244,0.001387317
0.03,0.97,0.47," $923,210.15 ",26500000,0.039285538,0.001457012
0.03,0.97,0.48," $960,936.08 ",26000000,0.040039003,0.001530838
0.03,0.97,0.49," $999,901.41 ",25500000,0.040812302,0.001609094
0.03,0.97,0.5," $1,040,153.24 ",25000000,0.04160613,0.001692106
0.03,0.97,0.51," $1,081,740.89 ",24500000,0.042421211,0.001780227
0.03,0.97,0.52," $1,124,716.03 ",24000000,0.043258309,0.001873846
0.03,0.97,0.53," $1,169,132.86 ",23500000,0.044118221,0.001973385
0.03,0.97,0.54," $1,215,048.22 ",23000000,0.045001786,0.002079311
0.03,0.97,0.55," $1,262,521.80 ",22500000,0.045909884,0.002192131
0.03,0.97,0.56," $1,311,616.33 ",22000000,0.04684344,0.002312407
0.03,0.97,0.57," $1,362,397.74 ",21500000,0.04780343,0.002440754
0.03,0.97,0.58," $1,414,935.44 ",21000000,0.048790877,0.002577855
0.03,0.97,0.59," $1,469,302.52 ",20500000,0.049806865,0.002724463
0.03,0.97,0.6," $1,525,576.02 ",20000000,0.050852534,0.002881412
0.03,0.97,0.61," $1,583,837.24 ",19500000,0.05192909,0.003049629
0.03,0.97,0.62," $1,644,172.06 ",19000000,0.053037808,0.003230148
0.03,0.97,0.63," $1,706,671.26 ",18500000,0.05418004,0.00342412
0.03,0.97,0.64," $1,771,430.94 ",18000000,0.055357217,0.003632836
0.03,0.97,0.65," $1,838,552.92 ",17500000,0.056570859,0.003857744
0.03,0.97,0.66," $1,908,145.27 ",17000000,0.057822584,0.004100472
0.03,0.97,0.67," $1,980,322.78 ",16500000,0.059114113,0.004362863
0.03,0.97,0.68," $2,055,207.58 ",16000000,0.060447282,0.004646999
0.03,0.97,0.69," $2,132,929.83 ",15500000,0.061824053,0.004955253
0.03,0.97,0.7," $2,213,628.43 ",15000000,0.063246527,0.005290327
0.03,0.97,0.71," $2,297,451.90 ",14500000,0.064716955,0.005655323
0.03,0.97,0.72," $2,384,559.30 ",14000000,0.066237758,0.006053804
0.03,0.97,0.73," $2,475,121.39 ",13500000,0.067811545,0.006489893
0.03,0.97,0.74," $2,569,321.82 ",13000000,0.06944113,0.006968377
0.03,0.97,0.75," $2,667,358.62 ",12500000,0.071129563,0.007494844
0.03,0.97,0.76," $2,769,445.85 ",12000000,0.072880154,0.00807586
0.03,0.97,0.77," $2,875,815.55 ",11500000,0.074696508,0.008719179
0.03,0.97,0.78," $2,986,720.06 ",11000000,0.076582566,0.009434026
0.03,0.97,0.79," $3,102,434.64 ",10500000,0.078542649,0.010231451
0.03,0.97,0.8," $3,223,260.76 ",10000000,0.080581519,0.011124799
0.03,0.97,0.81," $3,349,529.91 ",9500000,0.082704442,0.012130327
0.03,0.97,0.82," $3,481,608.28 ",9000000,0.084917275,0.013268026
0.03,0.97,0.83," $3,619,902.44 ",8500000,0.087226565,0.014562746
0.03,0.97,0.84," $3,764,866.46 ",8000000,0.089639678,0.016045739
0.03,0.97,0.85," $3,917,010.71 ",7500000,0.092164958,0.017756834
0.03,0.97,0.86," $4,076,913.14 ",7000000,0.094811934,0.019747555
0.03,0.97,0.87," $4,245,233.83 ",6500000,0.097591582,0.022085689
0.03,0.97,0.88," $4,422,734.06 ",6000000,0.100516683,0.024862171
0.03,0.97,0.89," $4,610,301.96 ",5500000,0.103602291,0.028201765
0.03,0.97,0.9," $4,808,987.72 ",5000000,0.106866394,0.032280214
0.03,0.97,0.91," $5,020,053.23 ",4500000,0.11033084,0.037352945
0.03,0.97,0.92," $5,245,044.40 ",4000000,0.114022704,0.043805509
0.03,0.97,0.93," $5,485,900.59 ",3500000,0.117976357,0.052247648
0.03,0.97,0.94," $5,745,127.70 ",3000000,0.12223676,0.063702272
0.03,0.97,0.95," $6,026,088.02 ",2500000,0.126865011,0.080023147
0.03,0.97,0.96," $6,333,520.67 ",2000000,0.131948347,0.104944385
0.03,0.97,0.97," $6,674,565.62 ",1500000,0.13761991,0.147246832
0.03,0.97,0.98," $7,061,042.85 ",1000000,0.144102915,0.233512893
0.03,0.97,0.99," $7,515,503.85 ",500000,0.151828361,0.498454688
0.04,0.96,0.01," $9,281.11 ",49500000,0.018562229,0.000265679
