Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Average Price,Min Price
0.02,0.98,0.69,6307873.091,15500000,0.182836901,0.008880774
0.02,0.98,0.7,6627429.337,15000000,0.189355124,0.009620695
0.02,0.98,0.71,6964195.476,14500000,0.19617452,0.010436388
0.02,0.98,0.72,7319279.789,14000000,0.203313327,0.011337624
0.02,0.98,0.73,7693881.314,13500000,0.210791269,0.012335761
0.02,0.98,0.74,8089299.666,13000000,0.218629721,0.013444068
0.02,0.98,0.75,8506946.269,12500000,0.2268519,0.014678122
0.02,0.98,0.76,8948357.263,12000000,0.235483086,0.016056316
0.02,0.98,0.77,9415208.43,11500000,0.244550868,0.017600495
0.02,0.98,0.78,9909332.528,11000000,0.254085449,0.019336774
0.02,0.98,0.79,10432739.58,10500000,0.264119989,0.021296599
0.02,0.98,0.8,10987640.76,10000000,0.274691019,0.023518125
0.02,0.98,0.81,11576476.73,9500000,0.285838932,0.026048049
0.02,0.98,0.82,12201951.6,9000000,0.297608576,0.028944061
0.02,0.98,0.83,12867073.88,8500000,0.310049973,0.032278177
0.02,0.98,0.84,13575206.55,8000000,0.323219204,0.036141355
0.02,0.98,0.85,14330128.84,7500000,0.337179502,0.04064998
0.02,0.98,0.86,15136113.63,7000000,0.352002643,0.045955183
0.02,0.98,0.87,15998025.79,6500000,0.367770708,0.052256534
0.02,0.98,0.88,16921449.27,6000000,0.384578392,0.059822677
0.02,0.98,0.89,17912854.84,5500000,0.402536064,0.069023402
0.02,0.98,0.9,18979826.45,5000000,0.421773921,0.080381201
0.02,0.98,0.91,20131375.35,4500000,0.44244781,0.094657665
0.02,0.98,0.92,21378390.29,4000000,0.464747615,0.113005456
0.02,0.98,0.93,22734308.78,3500000,0.488909866,0.137252045
0.02,0.98,0.94,24216167.65,3000000,0.51523761,0.170470329
0.02,0.98,0.95,25846350.36,2500000,0.544133692,0.218241187
0.02,0.98,0.96,27655732.14,2000000,0.576161086,0.29182933
0.02,0.98,0.97,29689972.88,1500000,0.612164389,0.417776481
0.02,0.98,0.98,32024146.22,1000000,0.653554004,0.676596928
0.02,0.98,0.99,34805563.7,500000,0.703142701,1.477246264
0.03,0.97,0.01,14418.68291,49500000,0.028837366,0.00020048
0.03,0.97,0.02,29474.97938,49000000,0.029474979,0.000212224
0.03,0.97,0.03,45196.61022,48500000,0.030131073,0.000224644
0.03,0.97,0.04,61612.5436,48000000,0.030806272,0.000237778
0.03,0.97,0.05,78753.0554,47500000,0.031501222,0.000251671
0.03,0.97,0.06,96649.79275,47000000,0.032216598,0.000266367
0.03,0.97,0.07,115335.8411,46500000,0.032953097,0.000281915
0.03,0.97,0.08,134845.7946,46000000,0.033711449,0.000298366
0.03,0.97,0.09,155215.8311,45500000,0.034492407,0.000315776
0.03,0.97,0.1,176483.7899,45000000,0.035296758,0.000334202
0.03,0.97,0.11,198689.2553,44500000,0.036125319,0.000353707
0.03,0.97,0.12,221873.6437,44000000,0.036978941,0.000374358
0.03,0.97,0.13,246080.2962,43500000,0.037858507,0.000396225
0.03,0.97,0.14,271354.5757,43000000,0.038764939,0.000419385
0.03,0.97,0.15,297743.9705,42500000,0.039699196,0.000443918
0.03,0.97,0.16,325298.2028,42000000,0.040662275,0.00046991
0.03,0.97,0.17,354069.3445,41500000,0.041655217,0.000497454
0.03,0.97,0.18,384111.9382,41000000,0.042679104,0.000526649
0.03,0.97,0.19,415483.1272,40500000,0.043735066,0.0005576
0.03,0.97,0.2,448242.7911,40000000,0.044824279,0.000590421
0.03,0.97,0.21,482453.6915,39500000,0.045947971,0.000625233
0.03,0.97,0.22,518181.6243,39000000,0.04710742,0.000662165
0.03,0.97,0.23,555495.583,38500000,0.048303964,0.000701356
0.03,0.97,0.24,594467.9309,38000000,0.049538994,0.000742957
0.03,0.97,0.25,635174.5838,37500000,0.050813967,0.000787127
0.03,0.97,0.26,677695.2049,37000000,0.0521304,0.000834038
0.03,0.97,0.27,722113.4105,36500000,0.053489882,0.000883875
0.03,0.97,0.28,768516.9898,36000000,0.054894071,0.000936838
0.03,0.97,0.29,816998.1384,35500000,0.056344699,0.00099314
0.03,0.97,0.3,867653.7057,35000000,0.05784358,0.001053012
0.03,0.97,0.31,920585.4603,34500000,0.05939261,0.001116702
0.03,0.97,0.32,975900.3707,34000000,0.060993773,0.001184478
0.03,0.97,0.33,1033710.906,33500000,0.062649146,0.001256629
0.03,0.97,0.34,1094135.355,33000000,0.064360903,0.001333467
0.03,0.97,0.35,1157298.17,32500000,0.066131324,0.001415329
0.03,0.97,0.36,1223330.329,32000000,0.067962796,0.00150258
0.03,0.97,0.37,1292369.728,31500000,0.069857823,0.001595614
0.03,0.97,0.38,1364561.597,31000000,0.071819031,0.00169486
0.03,0.97,0.39,1440058.947,30500000,0.073849177,0.001800781
0.03,0.97,0.4,1519023.049,30000000,0.075951152,0.001913881
0.03,0.97,0.41,1601623.944,29500000,0.078127997,0.002034707
0.03,0.97,0.42,1688040.997,29000000,0.080382905,0.002163854
0.03,0.97,0.43,1778463.484,28500000,0.082719232,0.002301969
0.03,0.97,0.44,1873091.232,28000000,0.085140511,0.002449759
0.03,0.97,0.45,1972135.295,27500000,0.087650458,0.002607993
0.03,0.97,0.46,2075818.697,27000000,0.090252987,0.002777512
0.03,0.97,0.47,2184377.22,26500000,0.092952222,0.002959236
0.03,0.97,0.48,2298060.262,26000000,0.095752511,0.003154172
0.03,0.97,0.49,2417131.759,25500000,0.098658439,0.003363425
0.03,0.97,0.5,2541871.186,25000000,0.101674847,0.003588206
0.03,0.97,0.51,2672574.64,24500000,0.104806849,0.003829848
0.03,0.97,0.52,2809556.008,24000000,0.108059846,0.004089817
0.03,0.97,0.53,2953148.245,23500000,0.111439556,0.004369731
0.03,0.97,0.54,3103704.757,23000000,0.114952028,0.004671376
0.03,0.97,0.55,3261600.903,22500000,0.118603669,0.004996728
0.03,0.97,0.56,3427235.637,22000000,0.122401273,0.005347975
0.03,0.97,0.57,3601033.302,21500000,0.126352046,0.005727549
0.03,0.97,0.58,3783445.587,21000000,0.130463641,0.006138151
0.03,0.97,0.59,3974953.668,20500000,0.134744192,0.006582793
0.03,0.97,0.6,4176070.568,20000000,0.139202352,0.00706484
0.03,0.97,0.61,4387343.738,19500000,0.143847336,0.007588055
0.03,0.97,0.62,4609357.907,19000000,0.148688965,0.008156661
0.03,0.97,0.63,4842738.229,18500000,0.153737722,0.008775405
0.03,0.97,0.64,5088153.756,18000000,0.159004805,0.009449641
